grupo_edad,year,salario_mensual,precio_m2_nacional,interes_medio,metros_posibles,esfuerzo_m2
55 y más años,2020,1605.56,1674.4736842105262,2.3033333333333332,0.9588445701713029,1.0429218990324411
De 16 a 24 años,2020,1593.18,1674.4736842105262,2.3033333333333332,0.9514512022630836,1.0510260511747112
De 25 a 34 años,2020,1608.21,1674.4736842105262,2.3033333333333332,0.9604271570014145,1.0412033777992464
De 35 a 44 años,2020,1608.08,1674.4736842105262,2.3033333333333332,0.9603495206663524,1.0412875505015462
De 45 a 54 años,2020,1607.56,1674.4736842105262,2.3033333333333332,0.960038975326104,1.0416243774481364
55 y más años,2021,1656.19,1712.2105263157894,1.9216666666666666,0.9672817533505472,1.0338249393582797
De 16 a 24 años,2021,1649.37,1712.2105263157894,1.9216666666666666,0.9632985983032092,1.0380997146278819
De 25 a 34 años,2021,1651.07,1712.2105263157894,1.9216666666666666,0.9642914668633961,1.0370308504883436
De 35 a 44 años,2021,1652.2,1712.2105263157894,1.9216666666666666,0.9649514324357557,1.0363215871660751
De 45 a 54 años,2021,1652.83,1712.2105263157894,1.9216666666666666,0.9653193778433543,1.035926578242039
55 y más años,2022,1707.47,1775.842105263158,2.063333333333333,0.9614987700423817,1.0400429320943605
De 16 a 24 años,2022,1707.72,1775.842105263158,2.063333333333333,0.9616395483239976,1.0398906760260218
De 25 a 34 años,2022,1710.21,1775.842105263158,2.063333333333333,0.9630417000088912,1.0383766351869992
De 35 a 44 años,2022,1707.19,1775.842105263158,2.063333333333333,0.9613410983669719,1.0402135118312301
De 45 a 54 años,2022,1709.86,1775.842105263158,2.063333333333333,0.962844610414629,1.0385891858182297
55 y más años,2023,1828.54,1888.842105263158,3.3358333333333334,0.9680745653143111,1.0329782806299879
De 16 a 24 años,2023,1834.61,1888.842105263158,3.3358333333333334,0.971288174320107,1.02956056342392
De 25 a 34 años,2023,1835.07,1888.842105263158,3.3358333333333334,0.9715317097637093,1.0293024817926062
De 35 a 44 años,2023,1837.65,1888.842105263158,3.3358333333333334,0.9728976259473919,1.0278573750513742
De 45 a 54 años,2023,1832.8,1888.842105263158,3.3358333333333334,0.9703299152920196,1.0305773162719107
