comunidades_y_ciudades_autónomas;precio_2020;precio_2024;variacion_absoluta;variacion_porcentual
05 Canarias;1867;2846;979;52.44
04 Balears, Illes;3091;4707;1616;52.28
10 Comunitat Valenciana;1413;2061;648;45.86
01 Andalucia;1660;2318;658;39.64
13 Madrid, Comunidad De;2774;3771;997;35.94
14 Murcia, Region De;1048;1379;331;31.58
15 Navarra, Comunidad Foral De;1451;1795;344;23.71
06 Cantabria;1448;1746;298;20.58
16 Pais Vasco;2641;3076;435;16.47
02 Aragon;1318;1497;179;13.58
19 Melilla;1777;1994;217;12.21
09 Cataluna;2244;2495;251;11.19
08 Castilla-La Mancha;868;957;89;10.25
03 Asturias, Principado De;1346;1471;125;9.29
17 Rioja, La;1240;1349;109;8.79
12 Galicia;1327;1437;110;8.29
07 Castilla Y Leon;1135;1216;81;7.14
11 Extremadura;921;986;65;7.06
18 Ceuta;2246;2350;104;4.63
